School,QATAR,GERMANY,ENGLAND,SWITZERLAND,SOUTH KOREA,JAPAN,CHINA,HONG KONG,CANADA,SINGAPORE,Total Foreign Donations
Harvard University,39511002.0,143040057.0,555001663.36,540306774.0,108041984.0,175147297.0,321633723.45,268703922.0,166688571.09,65447990.0,4007178750.89
Cornell University,2293257152.0,43852195.28,23168685.38,78361665.01,24152062.5,31928919.17,59333290.0,76772739.0,49774815.75,9501494.0,3043850532.6200004
Carnegie Mellon University,1041705520.8,15992529.0,20548196.0,13203090.0,798306022.0,83240427.0,43091674.0,14600000.0,298821022.0,57178684.0,2910470123.8
University Of Pennsylvania,0.0,1832463583.93,129523668.4,101583895.11,8237993.0,26221099.15,135693590.33,69767063.3,29978390.99,50633813.85,2660604566.6
Massachusetts Institute Of Technology,0.0,39191998.0,145310377.0,42080272.58,100457138.0,239815757.0,133756977.0,103324498.0,33020389.0,352184002.0,2559416978.66
Stanford University,1826857.0,168682875.14,77550949.02,224864415.53,73030496.0,157356598.09,183115838.01,195261075.73,35034613.12,117846492.55,2089014223.7699997
Johns Hopkins University,3417837.0,137372251.73,215089780.8,122324224.27,56633492.480000004,79556072.61,18101160.79,7782636.0,118665783.88,7767331.0,1554340029.2799997
Yale University,284668.0,46949753.03,148928949.92,66647397.09,29142710.0,21354635.97,130548504.0,248194407.5,28788398.0,70967603.82,1521548490.12
Georgetown University,971077083.0,115440836.0,102495339.0,5401913.0,6332926.0,10331874.0,11469901.0,9431000.0,0.0,2054610.0,1346671602.0
Northwestern University,737808527.0,18169006.04,21069316.61,73320996.11,16976155.9,34490473.08,17357663.45,10749337.28,14691162.22,13363014.0,1150443077.3600001
"University Of California, Berkeley",0.0,66159216.55,41164752.02,27078692.0,140673377.0,44478736.0,95358366.0,114968816.0,108188997.0,74131667.85,1081918854.21
Duke University,2530691.0,79589317.35,38786454.74,55840249.26,2040667.0,13316252.0,60895763.0,10231204.22,28988796.0,34584429.81,1059133485.6299999
University Of Southern California,3655485.0,19844052.57,23216618.06,31006451.88,21372769.12,260326449.98,101906689.52,93409272.28,35095912.18,7688688.0,952571131.8840001
"University Of California, San Diego",0.0,62100563.61,115995735.92,113144228.62,70178235.42,75980827.95,22390405.09,5529836.0,19275336.08,15692581.0,916722615.55
"University Of California, Los Angeles",1.0,36785915.0,99494418.0,58262316.0,20935731.0,119754734.0,92321405.0,25262830.0,38250428.0,20525477.74,715949645.74
University Of Virginia,0.0,38714401.59,40725760.35,56611600.49,6529696.8,43953180.46,12781214.7,2470869.0,11489546.47,9395873.0,478160460.1100001
Princeton University,0.0,3876805.0,84565549.0,55719626.0,13636426.0,14035453.0,31229640.0,134364306.0,13514026.0,1050000.0,435004303.0
"University Of California, Davis",261050.0,15365477.0,20873257.05,19683180.0,11831997.47,39908392.0,18157337.0,750000.0,15232281.0,64537187.0,416326489.67999995
California Institute Of Technology,0.0,18405232.0,13056881.0,9850583.0,26864158.99,78090208.01,7557480.58,41294139.84,13252374.0,43088236.129999995,374665673.79999995
University Of Florida,0.0,14373051.0,2154404.0,24829756.59,68049403.0,22092546.4,392579.0,250000.0,5462414.0,3483382.0,268520974.78999996
Brown University,0.0,3644884.0,77112738.61,3559018.0,10172411.6,4030000.0,24970837.65,22254529.0,9187641.53,12454935.0,245770341.95
Vanderbilt University,0.0,36436338.0,4180446.0,2255939.0,0.0,5432047.0,0.0,710000.0,1066220.0,500000.0,211246989.0
Washington University In St. Louis,1117908.0,3720393.0,12188054.46,27040698.81,6450894.0,12026028.0,18184028.6,4499975.0,14648104.64,313290.0,186491603.91
Emory University,256750.0,2955358.0,15750437.0,25501991.0,8415319.0,23366216.0,12127816.0,200000.0,13702428.0,1000000.0,182379954.0
University Of Notre Dame,0.0,0.0,18813130.16,33265563.0,12589711.0,901208.0,4550100.0,1950000.0,16319823.0,0.0,135854662.72
Dartmouth College,0.0,0.0,19778795.02,2000000.0,0.0,3591343.0,402500.0,5018208.73,68020800.0,1312874.22,126035820.97
Rice University,500000.0,0.0,1051259.0,0.0,0.0,0.0,0.0,0.0,771500.0,0.0,3822759.0
